CUSTOMER_NUMBER,COMPANY_NAME,PRIMARY_INDUSTRY,REVENUES (IN MILLIONS DOLLAR),CATEGORY,Account_number
959113809,Boston Scientific Corp,Medical Instruments & Equipment,7468,CAT-E,38676384
959113810,Moog Inc,Machinery,9117,CAT-E,38676385
959113811,Eastman Chemical Co,Chemicals,31210,CAT-B,38676386
959113812,MDU Resources Group Inc,Miscellaneous,16717,CAT-D,38676387
959113813,Steelcase Inc,Furniture & Fixtures,33919,CAT-B,38676388
959113814,Energy Transfer Partners LP,Petroleum & Coal Products,27905,CAT-C,38676389
959113815,Eastman Kodak Co,Chemicals,2892,CAT-F,38676390
959113816,Mondelez International Inc,Food,37091,CAT-B,38676391
959113817,Keysight Technologies Inc,Machinery,10544,CAT-D,38676392
959113818,CVR Refining LP,Petroleum & Coal Products,6861,CAT-E,38676393
959113819,Lockheed Martin Corp,Aerospace & Defense,45966,CAT-A,38676394
959113820,NCR Corp,Computers & Other Electronic Products,42272,CAT-A,38676395
959113821,Under Armour Inc,Apparel,34417,CAT-B,38676396
959113822,Apple Inc,Computers & Other Electronic Products,9495,CAT-E,38676397
959113823,Harman International Inds Inc,Computers & Other Electronic Products,23765,CAT-C,38676398
959113824,Western Digital Corp,Computers & Other Electronic Products,43412,CAT-A,38676399
959113825,Alexion Pharmaceuticals Inc,Pharmaceuticals,22502,CAT-C,38676400
959113826,Middleby Corp,Electrical Equipment & Appliances,19630,CAT-D,38676401
959113827,MPM Holdings Inc,Chemicals,25927,CAT-C,38676402
959113828,John Bean Technologies Corp,Electrical Equipment & Appliances,13793,CAT-D,38676403
959113829,Skyworks Solutions Inc,Computers & Other Electronic Products,42053,CAT-A,38676404
959113830,Coca-Cola Co,Beverages,19652,CAT-D,38676405
959113831,Apache Corp,Petroleum & Coal Products,25594,CAT-C,38676406
959113832,Southwestern Energy Co,Petroleum & Coal Products,36318,CAT-B,38676407
959113833,California Resources Corp,Petroleum & Coal Products,16826,CAT-D,38676408
959113834,Tronox Ltd,Chemicals,40897,CAT-A,38676409
959113835,Kennametal Inc,Machinery,35330,CAT-B,38676410
959113836,Domtar Corp,Paper,24887,CAT-C,38676411
959113837,Activision Blizzard Inc,Computers & Other Electronic Products,46342,CAT-A,38676412
959113838,Alexion Pharmaceuticals Inc,Pharmaceuticals,22502,CAT-C,38676413
959113839,SM Energy Co,Petroleum & Coal Products,7967,CAT-E,38676414
959113840,Deckers Outdoor Corp,Apparel,26535,CAT-C,38676415
959113841,Chemtura Corp,Chemicals,45216,CAT-A,38676416
959113842,Green Plains Inc,Chemicals,5639,CAT-E,38676417
959113843,Dow Chemical Co,Chemicals,14571,CAT-D,38676418
959113844,Entegris Inc,Plastics,35537,CAT-B,38676419
959113845,Steelcase Inc,Furniture & Fixtures,33919,CAT-B,38676420
959113846,Becton Dickinson & Co,Medical Instruments & Equipment,1927,CAT-F,38676421
959113847,HP Inc,Computers & Other Electronic Products,39677,CAT-B,38676422
959113848,Honeywell International Inc,Miscellaneous,1902,CAT-F,38676423
959113849,CLARCOR Inc,Motor Vehicle Parts,38247,CAT-B,38676424
959113850,Builders FirstSource Inc,Wood Products,29078,CAT-C,38676425
959113851,Boston Scientific Corp,Medical Instruments & Equipment,7468,CAT-E,38676426
959113852,Park-Ohio Holdings Corp,Miscellaneous,32675,CAT-B,38676427
959113853,Archer-Daniels-Midland Co,Food,23224,CAT-C,38676428
959113854,Lennox International Inc,Electrical Equipment & Appliances,16416,CAT-D,38676429
959113855,Stepan Co,Chemicals,25932,CAT-C,38676430
959113856,General Cable Corp,Fabricated Metal Products,5481,CAT-E,38676431
959113857,Orbital ATK Inc,Aerospace & Defense,20404,CAT-C,38676432
959113858,Amkor Technology Inc,Computers & Other Electronic Products,9393,CAT-E,38676433
959113859,IDEX Corporation,Machinery,31018,CAT-B,38676434
959113860,Harris Corp,Communications Equipment,23205,CAT-C,38676435
959113861,Philip Morris International Inc,Tobacco,5153,CAT-E,38676436
959113862,First Solar Inc,Electrical Equipment & Appliances,19695,CAT-D,38676437
959113863,Fortinet Inc,Computers & Other Electronic Products,14188,CAT-D,38676438
959113864,MKS Instruments Inc,Instruments,6640,CAT-E,38676439
959113865,Apache Corp,Petroleum & Coal Products,25594,CAT-C,38676440
959113866,Kellogg Co,Food,45792,CAT-A,38676441
959113867,Veritiv Corp,Machinery,48771,CAT-A,38676442
959113868,Generac Holdings Inc,Machinery,24633,CAT-C,38676443
959113869,Rockwell Collins Inc,Communications Equipment,35287,CAT-B,38676444
959113870,Linear Technology Corp,Computers & Other Electronic Products,14425,CAT-D,38676445
959113871,Chemours Co,Chemicals,10955,CAT-D,38676446
959113872,Occidental Petroleum Corp,Petroleum & Coal Products,40266,CAT-A,38676447
959113873,Bruker Corp,Instruments,29830,CAT-C,38676448
959113874,Hess Corp,Petroleum & Coal Products,20877,CAT-C,38676449
959113875,Under Armour Inc,Apparel,34417,CAT-B,38676450
959113876,Noranda Aluminum Holding Corp,Fabricated Metal Products,44127,CAT-A,38676451
959113877,Maxim Integrated Products Inc,Computers & Other Electronic Products,19663,CAT-D,38676452
959113878,Stryker Corp,Medical Instruments & Equipment,33648,CAT-B,38676453
959113879,Armstrong Flooring Inc,Plastics,23413,CAT-C,38676454
959113880,General Cable Corp,Fabricated Metal Products,5481,CAT-E,38676455
959113881,Sanmina Corp,Computers & Other Electronic Products,11005,CAT-D,38676456
959113882,Meritor Inc,Motor Vehicle Parts,33456,CAT-B,38676457
959113883,A Schulman Inc,Chemicals,1116,CAT-F,38676458
959113884,Halyard Health Inc,Medical Instruments & Equipment,43771,CAT-A,38676459
959113885,Universal Forest Products Inc,Wood Products,13500,CAT-D,38676460
959113886,Hillenbrand Inc,Wood Products,42132,CAT-A,38676461
959113887,Edwards Lifesciences Corp,Pharmaceuticals,8022,CAT-E,38676462
959113888,Waters Corp,Instruments,13041,CAT-D,38676463
959113889,Kraton Performance Polymers Inc,Plastics,32296,CAT-B,38676464
959113890,AK Steel Holding Corp,Primary Metals,22072,CAT-C,38676465
959113891,Illumina Inc,Medical Instruments & Equipment,37475,CAT-B,38676466
959113892,Curtiss-Wright Corp,Machinery,2793,CAT-F,38676467
959113893,Alon USA Energy Inc,Petroleum & Coal Products,14251,CAT-D,38676468
959113894,Tenneco Inc,Motor Vehicle Parts,40706,CAT-A,38676469
959113895,Cooper-Standard Holdings Inc,Motor Vehicle Parts,24195,CAT-C,38676470
959113896,Estee Lauder Cos Inc,Chemicals,21445,CAT-C,38676471
959113897,C R Bard Inc,Medical Instruments & Equipment,28485,CAT-C,38676472
959113898,Boston Scientific Corp,Medical Instruments & Equipment,7468,CAT-E,38676473
959113899,Ford Motor Co,Motor Vehicles,29960,CAT-C,38676474
959113900,Drew Industries Inc,Motor Vehicle Parts,44372,CAT-A,38676475
959113901,Darling Ingredients Inc,Food,49335,CAT-A,38676476
959113902,Celanese Corp,Chemicals,3972,CAT-F,38676477
959113903,GoPro Inc,Computers & Other Electronic Products,43991,CAT-A,38676478
959113904,Seneca Foods Corp,Food,44484,CAT-A,38676479
959113905,Belden Inc,Electrical Equipment & Appliances,13205,CAT-D,38676480
959113906,Gannett Co Inc,Publishing & Printing,44360,CAT-A,38676481
959113907,Rockwell Automation Inc,Electrical Equipment & Appliances,21418,CAT-C,38676482
959113908,Estee Lauder Cos Inc,Chemicals,21445,CAT-C,38676483
959113909,Lamb Weston Holdings Inc,Food,17570,CAT-D,38676484
959113910,NetApp Inc,Computers & Other Electronic Products,12198,CAT-D,38676485
959113911,Kimberly-Clark Corp,Paper,3945,CAT-F,38676486
959113912,KLA-Tencor Corp,Computers & Other Electronic Products,47518,CAT-A,38676487
959113913,Titan International Inc,Primary Metals,27241,CAT-C,38676488
959113914,Plexus Corp,Computers & Other Electronic Products,5710,CAT-E,38676489
959113915,Chemours Co,Chemicals,10955,CAT-D,38676490
959113916,Alcoa Corp,Fabricated Metal Products,14337,CAT-D,38676491
959113917,Acuity Brands Inc,Electrical Equipment & Appliances,42025,CAT-A,38676492
959113918,Constellation Brands Inc,Beverages,42807,CAT-A,38676493
959113919,Allison Transmission Holdings Inc,Motor Vehicle Parts,17288,CAT-D,38676494
959113920,MKS Instruments Inc,Instruments,6640,CAT-E,38676495
959113921,Heico Corp,Aerospace & Defense,2176,CAT-F,38676496
959113922,Cummins Inc,Motor Vehicle Parts,2031,CAT-F,38676497
959113923,Agilent Technologies Inc,Instruments,33048,CAT-B,38676498
959113924,Atkore International Group Inc,Electrical Equipment & Appliances,41490,CAT-A,38676499
959113925,Juniper Networks Inc,Computers & Other Electronic Products,18721,CAT-D,38676500
959113926,Zebra Technologies Corp,Machinery,3189,CAT-F,38676501
959113927,Veritiv Corp,Machinery,48771,CAT-A,38676502
959113928,VF Corp,Apparel,26991,CAT-C,38676503
959113929,Corning Inc,Communications Equipment,36771,CAT-B,38676504
959113930,J M Smucker Co,Food,38875,CAT-B,38676505
959113931,DENTSPLY SIRONA Inc,Medical Instruments & Equipment,2189,CAT-F,38676506
959113932,Masco Corp,Furniture & Fixtures,47464,CAT-A,38676507
959113933,Modine Manufacturing Co,Motor Vehicle Parts,21605,CAT-C,38676508
959113934,CommScope Holding Co,Communications Equipment,45996,CAT-A,38676509
959113935,Timken Co,Fabricated Metal Products,28757,CAT-C,38676510
959113936,Toro Co,Machinery,48761,CAT-A,38676511
959113937,VeriFone Systems Inc,Computers & Other Electronic Products,5101,CAT-E,38676512
959113938,Anadarko Petroleum Corp,Petroleum & Coal Products,16701,CAT-D,38676513
959113939,Flowers Foods Inc,Food,49227,CAT-A,38676514
959113940,DENTSPLY SIRONA Inc,Medical Instruments & Equipment,2189,CAT-F,38676515
959113941,Eastman Kodak Co,Chemicals,2892,CAT-F,38676516
959113942,Advanced Drainage Systems Inc,Plastics,21678,CAT-C,38676517
959113943,Hill-Rom Holdings Inc,Medical Instruments & Equipment,710,CAT-G,38676518
959113944,Hess Corp,Petroleum & Coal Products,20877,CAT-C,38676519
959113945,Kimberly-Clark Corp,Paper,3945,CAT-F,38676520
959113946,Illumina Inc,Medical Instruments & Equipment,37475,CAT-B,38676521
959113947,Cimarex Energy Co,Petroleum & Coal Products,4774,CAT-F,38676522
959113948,Honeywell International Inc,Miscellaneous,1902,CAT-F,38676523
959113949,Par Pacific Holdings Inc,Petroleum & Coal Products,29885,CAT-C,38676524
959113950,Green Plains Inc,Chemicals,5639,CAT-E,38676525
959113951,LSC Communications Inc,Publishing & Printing,42326,CAT-A,38676526
959113952,Zimmer Biomet Holdings Inc,Medical Instruments & Equipment,17555,CAT-D,38676527
959113953,Occidental Petroleum Corp,Petroleum & Coal Products,40266,CAT-A,38676528
959113954,CVR Energy Inc,Petroleum & Coal Products,49856,CAT-A,38676529
959113955,Trinity Industries Inc,"Railcars, Ships, & Other Trans Equip",34189,CAT-B,38676530
959113956,Brunswick Corp,Miscellaneous,47337,CAT-A,38676531
959113957,SPX Flow Inc,Machinery,11538,CAT-D,38676532
959113958,PACCAR Inc,Motor Vehicles,17209,CAT-D,38676533
959113959,Corning Inc,Communications Equipment,36771,CAT-B,38676534
959113960,Acushnet Holdings Corp,Miscellaneous,26428,CAT-C,38676535
959113961,Wabash National Corp,Motor Vehicles,39767,CAT-B,38676536
959113962,Illumina Inc,Medical Instruments & Equipment,37475,CAT-B,38676537
959113963,Drew Industries Inc,Motor Vehicle Parts,44372,CAT-A,38676538
959113964,Chesapeake Energy Corp,Petroleum & Coal Products,35900,CAT-B,38676539
959113965,Celgene Corp,Pharmaceuticals,28975,CAT-C,38676540
959113966,Fortive Corp,Instruments,14021,CAT-D,38676541
959113967,Whirlpool Corp,Electrical Equipment & Appliances,36507,CAT-B,38676542
959113968,Marathon Oil Corp,Petroleum & Coal Products,3967,CAT-F,38676543
959113969,Arconic Inc,Primary Metals,32159,CAT-B,38676544
959113970,Amkor Technology Inc,Computers & Other Electronic Products,9393,CAT-E,38676545
959113971,Deere & Co,Machinery,3239,CAT-F,38676546
959113972,EnerSys Inc,Electrical Equipment & Appliances,14226,CAT-D,38676547
959113973,Stepan Co,Chemicals,25932,CAT-C,38676548
959113974,PVH Corp,Apparel,20806,CAT-C,38676549
959113975,Chesapeake Energy Corp,Petroleum & Coal Products,35900,CAT-B,38676550
959113976,Fitbit Inc,Computers & Other Electronic Products,45929,CAT-A,38676551
959113977,Applied Materials Inc,Computers & Other Electronic Products,12684,CAT-D,38676552
959113978,Chesapeake Energy Corp,Petroleum & Coal Products,35900,CAT-B,38676553
959113979,Air Products & Chemicals Inc,Chemicals,22657,CAT-C,38676554
959113980,KapStone,Paper & Packaging Corp Paper,4882,CAT-F,38676555
959113981,Qualcomm Inc,Communications Equipment,34336,CAT-B,38676556
959113982,Oneok Inc,Petroleum & Coal Products,30039,CAT-B,38676557
959113983,Weyerhaeuser Co,Wood Products,15545,CAT-D,38676558
959113984,Masco Corp,Furniture & Fixtures,47464,CAT-A,38676559
959113985,Sanderson Farms Inc,Food,35149,CAT-B,38676560
959113986,SunPower Corp,Electrical Equipment & Appliances,39217,CAT-B,38676561
959113987,Packaging Corp,of America Paper,26341,CAT-C,38676562
959113988,Century Aluminum Co,Fabricated Metal Products,2592,CAT-F,38676563
959113989,Celgene Corp,Pharmaceuticals,28975,CAT-C,38676564
959113990,Baxter International Inc,Medical Instruments & Equipment,12106,CAT-D,38676565
959113991,Vishay Intertechnology Inc,Computers & Other Electronic Products,21911,CAT-C,38676566
959113992,Timken Co,Fabricated Metal Products,28757,CAT-C,38676567
959113993,Milacron Holdings Corp,Machinery,17144,CAT-D,38676568
959113994,First Solar Inc,Electrical Equipment & Appliances,19695,CAT-D,38676569
959113995,General Dynamics Corp,"Railcars, Ships, & Other Trans Equip",6685,CAT-E,38676570
959113996,A O Smith Corp,Electrical Equipment & Appliances,37665,CAT-B,38676571
959113997,Cisco Systems Inc,Computers & Other Electronic Products,2960,CAT-F,38676572
959113998,Parker Hannifin Corp,Machinery,9286,CAT-E,38676573
959113999,Silgan Holdings Inc,Fabricated Metal Products,10943,CAT-D,38676574
959114000,Praxair Inc,Chemicals,21205,CAT-C,38676575
959114001,Dr Pepper Snapple Group Inc,Beverages,14216,CAT-D,38676576
959114002,Mosaic Co,Chemicals,16537,CAT-D,38676577
959114003,Kellogg Co,Food,45792,CAT-A,38676578
959114004,Lam Research Corp,Computers & Other Electronic Products,44474,CAT-A,38676579
959114005,Williams Partners LP,Petroleum & Coal Products,42820,CAT-A,38676580
959114006,Archer-Daniels-Midland Co,Food,23224,CAT-C,38676581
959114007,Fossil Group Inc,Apparel,1333,CAT-F,38676582
959114008,General Mills Inc,Food,19501,CAT-D,38676583
959114009,Boeing Co,Aerospace & Defense,12955,CAT-D,38676584
959114010,Universal Forest Products Inc,Wood Products,13500,CAT-D,38676585
959114011,QEP Resources Inc,Petroleum & Coal Products,23989,CAT-C,38676586
959114012,NCR Corp,Computers & Other Electronic Products,42272,CAT-A,38676587
959114013,Bristol-Myers Squibb Co,Pharmaceuticals,29273,CAT-C,38676588
959114014,Concho Resources Inc,Petroleum & Coal Products,10973,CAT-D,38676589
959114015,W R Grace & Co,Chemicals,30884,CAT-B,38676590
959114016,VWR Corp,Medical Instruments & Equipment,38579,CAT-B,38676591
959114017,Terex Corp,Machinery,28441,CAT-C,38676592
959114018,EQT Corp,Petroleum & Coal Products,16499,CAT-D,38676593
959114019,Whirlpool Corp,Electrical Equipment & Appliances,36507,CAT-B,38676594
959114020,eXegenics Inc (United States),Pharmaceuticals,29303,CAT-C,38676595
959114021,Zebra Technologies Corp,Machinery,3189,CAT-F,38676596
959114022,Boston Scientific Corp,Medical Instruments & Equipment,7468,CAT-E,38676597
959114023,Domtar Corp,Paper,24887,CAT-C,38676598
959114024,Sonoco Products Co,Paper,42626,CAT-A,38676599
959114025,Dr Pepper Snapple Group Inc,Beverages,14216,CAT-D,38676600
959114026,Deluxe Corp,Publishing & Printing,49134,CAT-A,38676601
959114027,Halyard Health Inc,Medical Instruments & Equipment,43771,CAT-A,38676602
959114028,Eli Lilly & Co,Pharmaceuticals,28210,CAT-C,38676603
959114029,Dow Chemical Co,Chemicals,14571,CAT-D,38676604
959114030,SM Energy Co,Petroleum & Coal Products,7967,CAT-E,38676605
959114031,Valhi Inc,Chemicals,32423,CAT-B,38676606
959114032,Dean Foods Co,Food,30092,CAT-B,38676607
959114033,Benchmark Electronics Inc,Computers & Other Electronic Products,4982,CAT-F,38676608
959114034,Flowers Foods Inc,Food,49227,CAT-A,38676609
959114035,Freeport-McMoRan Inc,Primary Metals,41287,CAT-A,38676610
959114036,Kaiser Aluminum Corp,Fabricated Metal Products,49918,CAT-A,38676611
959114037,Universal Corp,Tobacco,20073,CAT-C,38676612
959114038,PH Glatfelter Co,Paper,4265,CAT-F,38676613
959114039,Calumet Specialty Products Partners LP,Petroleum & Coal Products,36934,CAT-B,38676614
959114040,Whiting Petroleum Corp,Petroleum & Coal Products,14090,CAT-D,38676615
959114041,First Solar Inc,Electrical Equipment & Appliances,19695,CAT-D,38676616
959114042,Avery Dennison Corp,Paper,15653,CAT-D,38676617
959114043,JELD-WEN Holding Inc,Furniture & Fixtures,34593,CAT-B,38676618
959114044,Valvoline Inc,Petroleum & Coal Products,27051,CAT-C,38676619
959114045,Conagra Brands Inc,Food,8935,CAT-E,38676620
959114046,Lennox International Inc,Electrical Equipment & Appliances,16416,CAT-D,38676621
959114047,Crown Holdings Inc,Fabricated Metal Products,43375,CAT-A,38676622
959114048,Dana Inc,Motor Vehicle Parts,49690,CAT-A,38676623
959114049,Wolverine World Wide Inc,Apparel,44523,CAT-A,38676624
959114050,HollyFrontier Corp,Petroleum & Coal Products,43961,CAT-A,38676625
959114051,Newell Rubbermaid Inc,Miscellaneous,30228,CAT-B,38676626
959114052,Hershey Co,Food,5946,CAT-E,38676627
959114053,McCormick & Co Inc,Food,9812,CAT-E,38676628
959114054,General Cable Corp,Fabricated Metal Products,5481,CAT-E,38676629
959114055,Hexcel Corp,Miscellaneous,19147,CAT-D,38676630
959114056,Cree Inc,Computers & Other Electronic Products,29207,CAT-C,38676631
959114057,Martin Marietta Materials Inc,"Stone, Clay, Glass & Concrete Products",6526,CAT-E,38676632
959114058,Skyworks Solutions Inc,Computers & Other Electronic Products,42053,CAT-A,38676633
959114059,Reliance Steel & Aluminum Co,Primary Metals,43988,CAT-A,38676634
959114060,Barnes Group Inc,Fabricated Metal Products,43692,CAT-A,38676635
959114061,Zebra Technologies Corp,Machinery,3189,CAT-F,38676636
959114062,Hain Celestial Group Inc,Food,26745,CAT-C,38676637
959114063,Hillenbrand Inc,Wood Products,42132,CAT-A,38676638
959114064,Central Garden & Pet Co,Chemicals,29878,CAT-C,38676639
959114065,Murphy Oil Corp,Petroleum & Coal Products,24868,CAT-C,38676640
959114066,United Technologies Corp,Aerospace & Defense,805,CAT-G,38676641
959114067,Par Pacific Holdings Inc,Petroleum & Coal Products,29885,CAT-C,38676642
959114068,A O Smith Corp,Electrical Equipment & Appliances,37665,CAT-B,38676643
959114069,Delek US Holdings Inc,Petroleum & Coal Products,13364,CAT-D,38676644
959114070,Avery Dennison Corp,Paper,15653,CAT-D,38676645
959114071,Hologic Inc,Instruments,37014,CAT-B,38676646
959114072,eXegenics Inc (United States),Pharmaceuticals,29303,CAT-C,38676647
959114073,S&P Global Inc,Publishing & Printing,32197,CAT-B,38676648
959114074,Procter & Gamble Co,Chemicals,7077,CAT-E,38676649
959114075,Nucor Corp,Primary Metals,45663,CAT-A,38676650
959114076,GoPro Inc,Computers & Other Electronic Products,43991,CAT-A,38676651
959114077,Juniper Networks Inc,Computers & Other Electronic Products,18721,CAT-D,38676652
959114078,Global Brass & Copper Holdings Inc,Fabricated Metal Products,24058,CAT-C,38676653
959114079,Campbell Soup Co,Food,44104,CAT-A,38676654
959114080,AptarGroup Inc,Plastics,31641,CAT-B,38676655
959114081,Revlon Inc,Chemicals,29827,CAT-C,38676656
959114082,EOG Resources Inc,Petroleum & Coal Products,18319,CAT-D,38676657
959114083,Oshkosh Corp,Motor Vehicles,32017,CAT-B,38676658
959114084,Greif Inc,Paper,3608,CAT-F,38676659
959114085,Pitney Bowes Inc,Computers & Other Electronic Products,12392,CAT-D,38676660
959114086,Ciena Corp,Communications Equipment,15494,CAT-D,38676661
959114087,Qualcomm Inc,Communications Equipment,34336,CAT-B,38676662
959114088,Rexnord Corp,Machinery,43373,CAT-A,38676663
959114089,ConocoPhillips,Petroleum & Coal Products,24840,CAT-C,38676664
959114090,Valspar Corp,Chemicals,16358,CAT-D,38676665
959114091,PepsiCo Inc,Beverages,7841,CAT-E,38676666
959114092,John Bean Technologies Corp,Electrical Equipment & Appliances,13793,CAT-D,38676667
959114093,"Wilson Greatbatch Technologies, Inc",Electrical Equipment & Appliances,6155,CAT-E,38676668
959114094,Colgate-Palmolive Co,Chemicals,25896,CAT-C,38676669
959114095,Marathon Oil Corp,Petroleum & Coal Products,3967,CAT-F,38676670
959114096,Int'l Flavors & Fragrances Inc,Chemicals,24198,CAT-C,38676671
959114097,Herman Miller Inc,Furniture & Fixtures,35816,CAT-B,38676672
959114098,Owens-Illinois Inc,"Stone, Clay, Glass & Concrete Products",47974,CAT-A,38676673
959114099,EnerSys Inc,Electrical Equipment & Appliances,14226,CAT-D,38676674
959114100,Chesapeake Energy Corp,Petroleum & Coal Products,35900,CAT-B,38676675
959114101,SPX Flow Inc,Machinery,11538,CAT-D,38676676
959114102,Noranda Aluminum Holding Corp,Fabricated Metal Products,44127,CAT-A,38676677
959114103,Snap-On Inc,Instruments,1036,CAT-F,38676678
959114104,Danaher Corp,Miscellaneous,46068,CAT-A,38676679
959114105,Tesoro Corp,Petroleum & Coal Products,29074,CAT-C,38676680
959114106,Meredith Corp,Publishing & Printing,45096,CAT-A,38676681
959114107,International Paper Co,Paper,49413,CAT-A,38676682
959114108,Mondelez International Inc,Food,37091,CAT-B,38676683
959114109,Vishay Intertechnology Inc,Computers & Other Electronic Products,21911,CAT-C,38676684
959114110,Super Micro Computer Inc,Computers & Other Electronic Products,9416,CAT-E,38676685
959114111,Coca-Cola Co,Beverages,19652,CAT-D,38676686
959114112,Zebra Technologies Corp,Machinery,3189,CAT-F,38676687
959114113,Maxim Integrated Products Inc,Computers & Other Electronic Products,19663,CAT-D,38676688
959114114,Continental Resources Inc,Petroleum & Coal Products,33561,CAT-B,38676689
959114115,Columbia Sportswear Co,Apparel,36902,CAT-B,38676690
959114116,Lockheed Martin Corp,Aerospace & Defense,45966,CAT-A,38676691
959114117,Nucor Corp,Primary Metals,45663,CAT-A,38676692
959114118,Valero Energy Corp,Petroleum & Coal Products,14801,CAT-D,38676693
959114119,NewMarket Corp,Chemicals,48231,CAT-A,38676694
959114120,Estee Lauder Cos Inc,Chemicals,21445,CAT-C,38676695
959114121,Manitowoc Co Inc,Machinery,49914,CAT-A,38676696
959114122,Xilinx Inc,Computers & Other Electronic Products,44955,CAT-A,38676697
959114123,Koppers Holdings Inc,Chemicals,2196,CAT-F,38676698
959114124,Diebold Inc,Electrical Equipment & Appliances,23958,CAT-C,38676699
959114125,EOG Resources Inc,Petroleum & Coal Products,18319,CAT-D,38676700
959114126,A Schulman Inc,Chemicals,1116,CAT-F,38676701
959114127,Northrop Grumman Corp,Aerospace & Defense,27073,CAT-C,38676702
959114128,Ford Motor Co,Motor Vehicles,29960,CAT-C,38676703
959114129,Under Armour Inc,Apparel,34417,CAT-B,38676704
959114130,L Technologies Inc,Communications Equipment,31346,CAT-B,38676705
959114131,Teleflex Inc,Miscellaneous,31858,CAT-B,38676706
959114132,Chemours Co,Chemicals,10955,CAT-D,38676707
959114133,AdvanSix Inc,Plastics,28107,CAT-C,38676708
959114134,PACCAR Inc,Motor Vehicles,17209,CAT-D,38676709
959114135,Xilinx Inc,Computers & Other Electronic Products,44955,CAT-A,38676710
959114136,Mohawk Industries Inc,Textiles,34096,CAT-B,38676711
959114137,Regal Beloit Corp,Machinery,36359,CAT-B,38676712
959114138,Louisiana-Pacific Corp,Wood Products,11458,CAT-D,38676713
959114139,MKS Instruments Inc,Instruments,6640,CAT-E,38676714
959114140,Select Comfort Corp,Furniture & Fixtures,35922,CAT-B,38676715
959114141,Boston Scientific Corp,Medical Instruments & Equipment,7468,CAT-E,38676716
959114142,CF Industries Holdings Inc,Chemicals,41154,CAT-A,38676717
959114143,International Paper Co,Paper,49413,CAT-A,38676718
959114144,Fortive Corp,Instruments,14021,CAT-D,38676719
959114145,Scholastic Corp,Publishing & Printing,6093,CAT-E,38676720
959114146,Triumph Group Inc,Aerospace & Defense,49528,CAT-A,38676721
959114147,Weyerhaeuser Co,Wood Products,15545,CAT-D,38676722
959114148,USG Corp,"Stone, Clay, Glass & Concrete Products",4887,CAT-F,38676723
959114149,Crown Holdings Inc,Fabricated Metal Products,43375,CAT-A,38676724
959114150,Coca-Cola Co,Beverages,19652,CAT-D,38676725
959114151,Ciena Corp,Communications Equipment,15494,CAT-D,38676726
959114152,Armstrong Flooring Inc,Plastics,23413,CAT-C,38676727
959114153,Dover Corp,Machinery,34655,CAT-B,38676728
959114154,Cimarex Energy Co,Petroleum & Coal Products,4774,CAT-F,38676729
959114155,Dover Corp,Machinery,34655,CAT-B,38676730
959114156,Fortive Corp,Instruments,14021,CAT-D,38676731
959114157,AMETEK Inc,Instruments,44673,CAT-A,38676732
959114158,Freeport-McMoRan Inc,Primary Metals,41287,CAT-A,38676733
959114159,Textron Inc,Aerospace & Defense,22461,CAT-C,38676734
959114160,Coca-Cola Bottling Co,Consolidated Beverages,1260,CAT-F,38676735
959114161,Church & Dwight Co Inc,Chemicals,3965,CAT-F,38676736
959114162,Maxim Integrated Products Inc,Computers & Other Electronic Products,19663,CAT-D,38676737
959114163,Northrop Grumman Corp,Aerospace & Defense,27073,CAT-C,38676738
959114164,Benchmark Electronics Inc,Computers & Other Electronic Products,4982,CAT-F,38676739
959114165,Clorox Co,Chemicals,4088,CAT-F,38676740
959114166,Flowserve Corp,Machinery,32220,CAT-B,38676741
959114167,Briggs & Stratton Corp,Machinery,11044,CAT-D,38676742
959114168,Moog Inc,Machinery,9117,CAT-E,38676743
959114169,Plexus Corp,Computers & Other Electronic Products,5710,CAT-E,38676744
959114170,Linear Technology Corp,Computers & Other Electronic Products,14425,CAT-D,38676745
959114171,Hillenbrand Inc,Wood Products,42132,CAT-A,38676746
959114172,Hillenbrand Inc,Wood Products,42132,CAT-A,38676747
959114173,Amphenol Corp,Computers & Other Electronic Products,45176,CAT-A,38676748
959114174,Benchmark Electronics Inc,Computers & Other Electronic Products,4982,CAT-F,38676749
959114175,Continental Resources Inc,Petroleum & Coal Products,33561,CAT-B,38676750
959114176,MPM Holdings Inc,Chemicals,25927,CAT-C,38676751
959114177,Hubbell Inc,Electrical Equipment & Appliances,30132,CAT-B,38676752
959114178,Stepan Co,Chemicals,25932,CAT-C,38676753
959114179,American Axle & Mfg Holdings Inc,Motor Vehicle Parts,26440,CAT-C,38676754
959114180,"SS&C Technologies Holdings, Inc",Publishing & Printing,1053,CAT-F,38676755
959114181,MPM Holdings Inc,Chemicals,25927,CAT-C,38676756
959114182,Dean Foods Co,Food,30092,CAT-B,38676757
959114183,Federal-Mogul Corp,Motor Vehicle Parts,14544,CAT-D,38676758
959114184,Carter's Inc,Apparel,5563,CAT-E,38676759
959114185,Johnson & Johnson,Pharmaceuticals,19328,CAT-D,38676760
959114186,Alon USA Energy Inc,Petroleum & Coal Products,14251,CAT-D,38676761
959114187,CF Industries Holdings Inc,Chemicals,41154,CAT-A,38676762
959114188,Crown Holdings Inc,Fabricated Metal Products,43375,CAT-A,38676763
959114189,Cisco Systems Inc,Computers & Other Electronic Products,2960,CAT-F,38676764
959114190,PVH Corp,Apparel,20806,CAT-C,38676765
